epoch,train_loss,val_loss,lr,epoch_time_sec,best_epoch,best_val_loss
1,0.00979601112491041,0.009523426244656245,0.001,86.3174421787262,1,0.009523426244656245
2,0.008540572923636502,0.007636780602236589,0.001,1.7659614086151123,2,0.007636780602236589
3,0.007384249336831788,0.007287711712221304,0.001,1.8420546054840088,3,0.007287711712221304
4,0.007111515359658944,0.006905059268077215,0.001,1.7329931259155273,4,0.006905059268077215
5,0.00670514391461733,0.006576750179131826,0.001,1.732588768005371,5,0.006576750179131826
6,0.006446503015064797,0.006375963147729635,0.001,1.7363030910491943,6,0.006375963147729635
7,0.006231185403546715,0.006132790818810463,0.001,1.7305383682250977,7,0.006132790818810463
8,0.00595448914027858,0.005978037665287653,0.001,1.735663652420044,8,0.005978037665287653
9,0.005687725320045638,0.005565735511481762,0.001,1.7304463386535645,9,0.005565735511481762
10,0.005388063721750912,0.0053539336659014225,0.001,1.798525333404541,10,0.0053539336659014225
11,0.005271137543693391,0.005340769110868375,0.001,1.744227409362793,11,0.005340769110868375
12,0.005095750882891406,0.005044604589541753,0.001,1.7340188026428223,12,0.005044604589541753
13,0.004964142269003424,0.004942278936505317,0.001,1.751938819885254,13,0.004942278936505317
14,0.004865872962632503,0.00482104184726874,0.001,1.7299063205718994,14,0.00482104184726874
15,0.004811636462467116,0.004769737739115954,0.001,1.7328126430511475,15,0.004769737739115954
16,0.004655043898960395,0.0046486550010740755,0.001,1.7292559146881104,16,0.0046486550010740755
17,0.004569196405400034,0.004671463835984468,0.001,1.8085887432098389,16,0.0046486550010740755
18,0.004524193978881324,0.004483848623931408,0.001,1.7310795783996582,18,0.004483848623931408
19,0.0044729175391784995,0.00440569178511699,0.001,1.730163812637329,19,0.00440569178511699
20,0.004309702623336269,0.0043289256282150745,0.001,1.8471794128417969,20,0.0043289256282150745
21,0.004207148085092904,0.004142030204335848,0.001,1.73154616355896,21,0.004142030204335848
22,0.004078804837782297,0.004045350663363934,0.001,1.7281827926635742,22,0.004045350663363934
23,0.004021800388878733,0.00416416022926569,0.001,1.7261464595794678,22,0.004045350663363934
24,0.00398077236983791,0.003959150891751051,0.001,1.7291886806488037,24,0.003959150891751051
25,0.0039048535166272165,0.00404211658363541,0.001,1.7528469562530518,24,0.003959150891751051
26,0.003872894364669713,0.003979375120252371,0.001,1.7340319156646729,24,0.003959150891751051
27,0.003837102575877738,0.003807511863609155,0.001,1.7721621990203857,27,0.003807511863609155
28,0.003729658917887678,0.0037957011256366966,0.001,1.7276430130004883,28,0.0037957011256366966
29,0.0037010373106520426,0.0037082144680122536,0.001,1.725348711013794,29,0.0037082144680122536
30,0.003632719465982881,0.0036107974126935007,0.001,1.7247450351715088,30,0.0036107974126935007
31,0.0035732343078299406,0.003580951364710927,0.001,1.7352404594421387,31,0.003580951364710927
32,0.0034770292327984385,0.0035554470183948674,0.001,1.726001262664795,32,0.0035554470183948674
33,0.0033944309398872452,0.0035461559581259888,0.001,1.7243492603302002,33,0.0035461559581259888
34,0.0032837580350276673,0.0032456529947618644,0.001,1.737290620803833,34,0.0032456529947618644
35,0.0031725168589327142,0.003201638984804352,0.001,1.7240800857543945,35,0.003201638984804352
36,0.003134996292292246,0.003157631183664004,0.001,1.7244460582733154,36,0.003157631183664004
37,0.0030660140108822787,0.0030849920585751534,0.001,1.7999212741851807,37,0.0030849920585751534
38,0.0030030852120493507,0.0030253511232634384,0.001,1.727424144744873,38,0.0030253511232634384
39,0.00294965448263011,0.002997208759188652,0.001,1.7251863479614258,39,0.002997208759188652
40,0.0029108991280167138,0.002990273293107748,0.001,1.7241406440734863,40,0.002990273293107748
41,0.002854507283624932,0.0028723181846241155,0.001,1.8535752296447754,41,0.0028723181846241155
42,0.002820569868367217,0.002888169201711814,0.001,1.7238502502441406,41,0.0028723181846241155
43,0.00279624622645388,0.0030325232228885094,0.001,1.7258825302124023,41,0.0028723181846241155
44,0.0028579590527387207,0.002805538630733887,0.001,1.7297136783599854,44,0.002805538630733887
45,0.0027209949973774584,0.002795661939308047,0.001,1.7276732921600342,45,0.002795661939308047
46,0.0027285426599683027,0.002884995425119996,0.001,1.725595474243164,45,0.002795661939308047
47,0.0027192458923173415,0.0027524116293837627,0.001,1.7259676456451416,47,0.0027524116293837627
48,0.0026679846536822186,0.002744264667853713,0.001,1.7312328815460205,48,0.002744264667853713
49,0.002629645929834354,0.0027035453356802465,0.001,1.7256228923797607,49,0.0027035453356802465
50,0.0026068178978116557,0.002627250396957,0.001,1.795245885848999,50,0.002627250396957
51,0.002568476180703356,0.002686602979277571,0.001,1.7269208431243896,50,0.002627250396957
52,0.002588627187256544,0.0026418717112392186,0.001,1.7240147590637207,50,0.002627250396957
53,0.0025318240027080116,0.0026023794586459794,0.001,1.7243046760559082,53,0.0026023794586459794
54,0.002513325939579271,0.002642295944193999,0.001,1.7385237216949463,53,0.0026023794586459794
55,0.0025340326599921216,0.0026478447020053864,0.001,1.7256739139556885,53,0.0026023794586459794
56,0.002493087479643462,0.002557174162939191,0.001,1.726822853088379,56,0.002557174162939191
57,0.0024854468615142593,0.0026398605201393365,0.001,1.7247262001037598,56,0.002557174162939191
58,0.002489300700126427,0.0026103300973773003,0.001,1.7944722175598145,56,0.002557174162939191
59,0.0024473149880219944,0.002550424418101708,0.001,1.7285821437835693,59,0.002550424418101708
60,0.0024283776431243834,0.002522989921271801,0.001,1.726243019104004,60,0.002522989921271801
61,0.0024131922060339982,0.0025224413877973956,0.001,1.7256569862365723,60,0.002522989921271801
