[2026-04-30 19:45:14] epoch   32/300 | train=0.000927 | val=0.000910 | best=0.000881@31 | patience=1/30 | time=2.04s
[2026-04-30 19:45:16] epoch   33/300 | train=0.000927 | val=0.000919 | best=0.000881@31 | patience=2/30 | time=2.02s
[2026-04-30 19:45:21] epoch   34/300 | train=0.000934 | val=0.000849 | best=0.000849@34 | patience=0/30 | time=1.98s *
[2026-04-30 19:45:23] epoch   35/300 | train=0.000902 | val=0.000894 | best=0.000849@34 | patience=1/30 | time=2.01s
[2026-04-30 19:45:25] epoch   36/300 | train=0.000913 | val=0.000897 | best=0.000849@34 | patience=2/30 | time=1.99s
[2026-04-30 19:45:27] epoch   37/300 | train=0.000911 | val=0.000952 | best=0.000849@34 | patience=3/30 | time=2.01s
[2026-04-30 19:45:29] epoch   38/300 | train=0.000892 | val=0.001090 | best=0.000849@34 | patience=4/30 | time=1.98s
[2026-04-30 19:45:31] epoch   39/300 | train=0.000993 | val=0.001075 | best=0.000849@34 | patience=5/30 | time=2.00s
[2026-04-30 19:45:33] epoch   40/300 | train=0.000936 | val=0.000904 | best=0.000849@34 | patience=6/30 | time=2.08s
[2026-04-30 19:45:35] epoch   41/300 | train=0.000875 | val=0.000852 | best=0.000849@34 | patience=7/30 | time=2.04s
[2026-04-30 19:45:37] epoch   42/300 | train=0.000960 | val=0.000902 | best=0.000849@34 | patience=8/30 | time=2.03s
[2026-04-30 19:45:39] epoch   43/300 | train=0.000905 | val=0.001190 | best=0.000849@34 | patience=9/30 | time=2.05s
[2026-04-30 19:45:44] epoch   44/300 | train=0.000873 | val=0.000831 | best=0.000831@44 | patience=0/30 | time=2.07s *
[2026-04-30 19:45:46] epoch   45/300 | train=0.000867 | val=0.000938 | best=0.000831@44 | patience=1/30 | time=2.04s
[2026-04-30 19:45:48] epoch   46/300 | train=0.000870 | val=0.000869 | best=0.000831@44 | patience=2/30 | time=2.08s
[2026-04-30 19:45:50] epoch   47/300 | train=0.000876 | val=0.000831 | best=0.000831@44 | patience=3/30 | time=2.00s
[2026-04-30 19:45:55] epoch   48/300 | train=0.000858 | val=0.000826 | best=0.000826@48 | patience=0/30 | time=2.04s *
[2026-04-30 19:45:59] epoch   49/300 | train=0.000859 | val=0.000820 | best=0.000820@49 | patience=0/30 | time=2.02s *
[2026-04-30 19:46:02] epoch   50/300 | train=0.000835 | val=0.000833 | best=0.000820@49 | patience=1/30 | time=2.03s
[2026-04-30 19:46:04] epoch   51/300 | train=0.000845 | val=0.001757 | best=0.000820@49 | patience=2/30 | time=2.04s
[2026-04-30 19:46:06] epoch   52/300 | train=0.000883 | val=0.000919 | best=0.000820@49 | patience=3/30 | time=2.03s
[2026-04-30 19:46:08] epoch   53/300 | train=0.000865 | val=0.000836 | best=0.000820@49 | patience=4/30 | time=2.07s
[2026-04-30 19:46:10] epoch   54/300 | train=0.000855 | val=0.000876 | best=0.000820@49 | patience=5/30 | time=2.03s
[2026-04-30 19:46:14] epoch   55/300 | train=0.000833 | val=0.000788 | best=0.000788@55 | patience=0/30 | time=2.04s *
