epoch,train_loss,val_loss,lr,epoch_time_sec,best_epoch,best_val_loss
1,0.0028846067682145953,0.0023935198318213225,0.00022215300717804413,52.50908374786377,1,0.0023935198318213225
2,0.001683345699161704,0.0019084549508988856,0.00022215300717804413,2.0560381412506104,2,0.0019084549508988856
3,0.0013893287379934435,0.0012420876184478403,0.00022215300717804413,2.0530126094818115,3,0.0012420876184478403
4,0.0012839585245997126,0.0011165550677105784,0.00022215300717804413,2.001727819442749,4,0.0011165550677105784
5,0.001191030308691955,0.0011460095876827836,0.00022215300717804413,2.062960386276245,4,0.0011165550677105784
6,0.0011836821780929604,0.001239382429048419,0.00022215300717804413,2.0481979846954346,4,0.0011165550677105784
7,0.0013159186549618882,0.001107520703226328,0.00022215300717804413,2.0433669090270996,7,0.001107520703226328
8,0.001170080814606038,0.0011062474455684423,0.00022215300717804413,2.0136053562164307,8,0.0011062474455684423
9,0.0011080771547915037,0.0010052923928014934,0.00022215300717804413,2.5217506885528564,9,0.0010052923928014934
10,0.0010796642115396392,0.0010154086747206747,0.00022215300717804413,1.9958078861236572,9,0.0010052923928014934
11,0.0010441798440095583,0.0009589498513378203,0.00022215300717804413,1.9876811504364014,11,0.0009589498513378203
12,0.0010472678455557684,0.001022698706947267,0.00022215300717804413,2.000657796859741,11,0.0009589498513378203
13,0.0010641304120792908,0.0010009247809648514,0.00022215300717804413,1.9892220497131348,11,0.0009589498513378203
14,0.0010454196310692423,0.0009862071019597352,0.00022215300717804413,1.999182939529419,11,0.0009589498513378203
15,0.0010173183442106332,0.0009553815238177776,0.00022215300717804413,2.001847982406616,15,0.0009553815238177776
16,0.0009827564512069886,0.0009314877330325544,0.00022215300717804413,2.007580518722534,16,0.0009314877330325544
17,0.0009846237827985033,0.0009612892405129969,0.00022215300717804413,1.9971041679382324,16,0.0009314877330325544
18,0.0009775474426334007,0.0009514629491604865,0.00022215300717804413,2.0134968757629395,16,0.0009314877330325544
19,0.0009709841331823051,0.0009497699094936252,0.00022215300717804413,1.9920620918273926,16,0.0009314877330325544
20,0.0009598504201124662,0.0009661340853199362,0.00022215300717804413,1.9918310642242432,16,0.0009314877330325544
21,0.0010258033552395381,0.0009599816403351724,0.00022215300717804413,1.9917497634887695,16,0.0009314877330325544
22,0.0009622753964133374,0.0008910077624022961,0.00022215300717804413,1.9990992546081543,22,0.0008910077624022961
23,0.0009247650124050078,0.0008964926586486399,0.00022215300717804413,1.992086410522461,22,0.0008910077624022961
24,0.0009348040309262531,0.0008549518883228302,0.00022215300717804413,2.0124318599700928,24,0.0008549518883228302
25,0.0009441639611451084,0.0009063691250048578,0.00022215300717804413,2.059701681137085,24,0.0008549518883228302
26,0.0008965946503055806,0.0009202274726703763,0.00022215300717804413,2.1045114994049072,24,0.0008549518883228302
27,0.0009612596459645479,0.0009926274069584906,0.00022215300717804413,2.057196855545044,24,0.0008549518883228302
28,0.0009155645734344163,0.0008793185232207179,0.00022215300717804413,2.067776918411255,24,0.0008549518883228302
29,0.0009078997560748392,0.0009450884186662734,0.00022215300717804413,2.0547146797180176,24,0.0008549518883228302
30,0.000922693887569392,0.0008420674130320549,0.00022215300717804413,2.0721113681793213,30,0.0008420674130320549
31,0.0008910960624887095,0.0008665308589115739,0.00022215300717804413,2.0879313945770264,30,0.0008420674130320549
32,0.0008855141599990241,0.0009730678633786738,0.00022215300717804413,2.0503361225128174,30,0.0008420674130320549
33,0.0009119848248618462,0.0008178461226634681,0.00022215300717804413,2.0239548683166504,33,0.0008178461226634681
34,0.0008883860663296732,0.0008706292021088303,0.00022215300717804413,2.005441665649414,33,0.0008178461226634681
35,0.0008649631046078625,0.0008273100014775991,0.00022215300717804413,1.9891841411590576,33,0.0008178461226634681
36,0.0008464284767487043,0.0007682160940021276,0.00022215300717804413,1.9930200576782227,36,0.0007682160940021276
37,0.0008805876096628008,0.0008692050469107926,0.00022215300717804413,1.987034559249878,36,0.0007682160940021276
38,0.000854058460773606,0.0008299652603454888,0.00022215300717804413,1.9844255447387695,36,0.0007682160940021276
39,0.0008541425706823859,0.0009455038700252772,0.00022215300717804413,1.9839468002319336,36,0.0007682160940021276
40,0.0008489682685475477,0.0008595353690907359,0.00022215300717804413,2.021595001220703,36,0.0007682160940021276
41,0.0008742825285830842,0.0008340812986716628,0.00022215300717804413,1.9676485061645508,36,0.0007682160940021276
42,0.0008619658051089609,0.0009749815333634615,0.00022215300717804413,1.9683187007904053,36,0.0007682160940021276
43,0.0008804661114093876,0.0008541958872228861,0.00022215300717804413,1.9794435501098633,36,0.0007682160940021276
44,0.0008305360116786903,0.0008013018406927586,0.00022215300717804413,1.9889540672302246,36,0.0007682160940021276
45,0.0008575914822998676,0.0007983432267792522,0.00022215300717804413,1.9703547954559326,36,0.0007682160940021276
46,0.0008194073778319164,0.0008343949215486645,0.00022215300717804413,1.9681906700134277,36,0.0007682160940021276
47,0.0008269382793574989,0.0008525566197931766,0.00022215300717804413,1.96394944190979,36,0.0007682160940021276
48,0.0008010110044542318,0.0007825828390195966,0.00022215300717804413,1.9664578437805176,36,0.0007682160940021276
49,0.0008185015487616206,0.0008645396330393851,0.00022215300717804413,2.078369379043579,36,0.0007682160940021276
50,0.0008415357395813096,0.0008363232947885991,0.00022215300717804413,2.059917449951172,36,0.0007682160940021276
51,0.000833470476249496,0.0008592220838181674,0.00022215300717804413,2.056631326675415,36,0.0007682160940021276
52,0.0008541293728611641,0.0008199529140256346,0.00022215300717804413,2.058478593826294,36,0.0007682160940021276
