[2026-04-30 19:38:56] ============================================================
[2026-04-30 19:38:56] Trial 642024 starting on cuda:0
[2026-04-30 19:38:56] Timestamp: 2026-04-30T19:38:56.739341
[2026-04-30 19:38:56] --- Config summary ---
  model_type        : cnn
  bottleneck_dim    : 240
  n_enc_layers      : 5
  n_dec_layers      : 3
  base_channels     : 45
  growth_factor     : 2.420701279177553
  use_batchnorm     : True
  mlp_input_size    : 64
  mlp_hidden_sizes  : [1024, 256]
  mlp_dropout       : 0.1
  use_hpf           : True
  hpf_sigma         : 1.0150899986921562
  lr                : 0.00022215300717804413
  batch_size        : 24
  decoder_upsample  : nearest
  max_epochs        : 300
  min_epochs        : 30
  patience          : 30
  seed              : 2024
  deterministic     : False
  trial_num         : 642024
[2026-04-30 19:38:56] Loading train/val/selection splits...
[2026-04-30 19:39:04] Splits loaded in 8.0s: n_train=722, n_val=120, n_selection=405
[2026-04-30 19:39:05] --- Architecture summary ---
[2026-04-30 19:40:42] epoch   41/300 | train=0.000865 | val=0.000900 | best=0.000832@33 | patience=8/30 | time=1.23s
[2026-04-30 19:40:44] epoch   42/300 | train=0.000865 | val=0.000802 | best=0.000802@42 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:45] epoch   43/300 | train=0.000861 | val=0.000819 | best=0.000802@42 | patience=1/30 | time=1.23s
[2026-04-30 19:40:46] epoch   44/300 | train=0.000860 | val=0.000828 | best=0.000802@42 | patience=2/30 | time=1.30s
[2026-04-30 19:40:48] epoch   45/300 | train=0.000858 | val=0.000939 | best=0.000802@42 | patience=3/30 | time=1.54s
[2026-04-30 19:40:49] epoch   46/300 | train=0.000857 | val=0.000885 | best=0.000802@42 | patience=4/30 | time=1.35s
[2026-04-30 19:40:50] epoch   47/300 | train=0.000845 | val=0.000806 | best=0.000802@42 | patience=5/30 | time=1.25s
[2026-04-30 19:40:52] epoch   48/300 | train=0.000818 | val=0.000977 | best=0.000802@42 | patience=6/30 | time=1.23s
[2026-04-30 19:40:53] epoch   49/300 | train=0.000841 | val=0.000833 | best=0.000802@42 | patience=7/30 | time=1.23s
[2026-04-30 19:40:54] epoch   50/300 | train=0.000835 | val=0.000820 | best=0.000802@42 | patience=8/30 | time=1.23s
[2026-04-30 19:40:56] epoch   51/300 | train=0.000840 | val=0.000787 | best=0.000787@51 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:57] epoch   52/300 | train=0.000830 | val=0.000896 | best=0.000787@51 | patience=1/30 | time=1.23s
[2026-04-30 19:40:58] epoch   53/300 | train=0.000830 | val=0.000864 | best=0.000787@51 | patience=2/30 | time=1.23s
[2026-04-30 19:40:59] epoch   54/300 | train=0.000875 | val=0.000801 | best=0.000787@51 | patience=3/30 | time=1.24s
[2026-04-30 19:41:01] epoch   55/300 | train=0.000805 | val=0.000848 | best=0.000787@51 | patience=4/30 | time=1.23s
[2026-04-30 19:41:02] epoch   56/300 | train=0.000845 | val=0.000834 | best=0.000787@51 | patience=5/30 | time=1.23s
[2026-04-30 19:41:03] epoch   57/300 | train=0.000834 | val=0.000774 | best=0.000774@57 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:05] epoch   58/300 | train=0.000842 | val=0.000787 | best=0.000774@57 | patience=1/30 | time=1.25s
[2026-04-30 19:41:06] epoch   59/300 | train=0.000784 | val=0.000746 | best=0.000746@59 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:08] epoch   60/300 | train=0.000773 | val=0.000775 | best=0.000746@59 | patience=1/30 | time=1.23s
[2026-04-30 19:41:09] epoch   61/300 | train=0.000794 | val=0.000982 | best=0.000746@59 | patience=2/30 | time=1.23s
[2026-04-30 19:41:10] epoch   62/300 | train=0.000840 | val=0.000745 | best=0.000746@59 | patience=3/30 | time=1.23s
[2026-04-30 19:41:11] epoch   63/300 | train=0.000795 | val=0.000752 | best=0.000746@59 | patience=4/30 | time=1.23s
[2026-04-30 19:41:13] epoch   64/300 | train=0.000765 | val=0.000860 | best=0.000746@59 | patience=5/30 | time=1.23s
[2026-04-30 19:41:14] epoch   65/300 | train=0.000863 | val=0.000970 | best=0.000746@59 | patience=6/30 | time=1.23s
[2026-04-30 19:41:15] epoch   66/300 | train=0.000832 | val=0.000756 | best=0.000746@59 | patience=7/30 | time=1.23s
[2026-04-30 19:41:16] epoch   67/300 | train=0.000758 | val=0.000782 | best=0.000746@59 | patience=8/30 | time=1.23s
[2026-04-30 19:41:17] epoch   68/300 | train=0.000779 | val=0.000834 | best=0.000746@59 | patience=9/30 | time=1.23s
[2026-04-30 19:41:19] epoch   69/300 | train=0.000788 | val=0.000683 | best=0.000683@69 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:21] epoch   70/300 | train=0.000718 | val=0.000671 | best=0.000671@70 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:22] epoch   71/300 | train=0.000714 | val=0.000723 | best=0.000671@70 | patience=1/30 | time=1.23s
[2026-04-30 19:41:23] epoch   72/300 | train=0.000701 | val=0.000724 | best=0.000671@70 | patience=2/30 | time=1.23s
[2026-04-30 19:41:25] epoch   73/300 | train=0.000705 | val=0.000748 | best=0.000671@70 | patience=3/30 | time=1.23s
[2026-04-30 19:41:26] epoch   74/300 | train=0.000705 | val=0.000638 | best=0.000638@74 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:27] epoch   75/300 | train=0.000702 | val=0.000694 | best=0.000638@74 | patience=1/30 | time=1.25s
[2026-04-30 19:41:29] epoch   76/300 | train=0.000735 | val=0.000685 | best=0.000638@74 | patience=2/30 | time=1.23s
[2026-04-30 19:41:30] epoch   77/300 | train=0.000721 | val=0.000800 | best=0.000638@74 | patience=3/30 | time=1.23s
[2026-04-30 19:41:31] epoch   78/300 | train=0.000701 | val=0.000659 | best=0.000638@74 | patience=4/30 | time=1.23s
[2026-04-30 19:41:32] epoch   79/300 | train=0.000702 | val=0.000641 | best=0.000638@74 | patience=5/30 | time=1.25s
[2026-04-30 19:41:34] epoch   80/300 | train=0.000699 | val=0.000818 | best=0.000638@74 | patience=6/30 | time=1.23s
[2026-04-30 19:41:35] epoch   81/300 | train=0.000706 | val=0.000632 | best=0.000632@81 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:37] epoch   82/300 | train=0.000678 | val=0.000679 | best=0.000632@81 | patience=1/30 | time=1.23s
[2026-04-30 19:41:38] epoch   83/300 | train=0.000663 | val=0.000622 | best=0.000622@83 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:39] epoch   84/300 | train=0.000682 | val=0.000940 | best=0.000622@83 | patience=1/30 | time=1.23s
[2026-04-30 19:41:41] epoch   85/300 | train=0.000700 | val=0.000631 | best=0.000622@83 | patience=2/30 | time=1.23s
[2026-04-30 19:41:42] epoch   86/300 | train=0.000634 | val=0.000677 | best=0.000622@83 | patience=3/30 | time=1.23s
[2026-04-30 19:41:43] epoch   87/300 | train=0.000695 | val=0.000725 | best=0.000622@83 | patience=4/30 | time=1.23s
[2026-04-30 19:41:44] epoch   88/300 | train=0.000666 | val=0.000687 | best=0.000622@83 | patience=5/30 | time=1.23s
